#{"t_start": 1752288568.589439, "env_id": "None"}
r,l,t
8.51246,500,7978.935195
2.442393,500,7992.31205
1.753707,500,8005.331167
11.737886,500,8018.417138
10.068854,500,8049.230534
3.631758,500,8062.632247
4.174522,500,8075.567585
17.518384,500,8088.780773
6.590692,500,8119.694407
8.436044,500,8132.982326
3.629571,500,8146.033419
4.73997,500,8159.13852
16.520276,500,8194.061303
6.781624,500,8209.019398
9.887434,500,8223.176816
10.822596,500,8236.672357
13.331213,500,8260.260845
5.931573,500,8275.71461
4.453837,500,8290.451254
20.764173,500,8303.781819
5.81855,500,8335.011712
9.324569,500,8348.257702
18.30813,500,8361.379295
6.638184,500,8374.309624
12.217283,500,8405.803468
-2.972529,500,8420.935709
10.554294,500,8436.092184
9.315184,500,8452.154004
19.655003,500,8486.961034
14.904443,500,8500.235984
4.959331,500,8513.411963
-1.324703,500,8526.523305
15.530862,500,8558.706322
4.103758,500,8572.39563
11.838174,500,8586.00036
2.753915,500,8599.328261
18.515828,500,8620.537612
9.23727,500,8634.361462
17.94507,500,8648.14441
8.186314,500,8662.084111
8.632431,500,8693.472714
2.869732,500,8707.765149
9.920311,500,8721.812513
8.387817,500,8734.910672
7.839628,500,8765.673373
14.121945,500,8779.043265
3.035212,500,8791.950325
7.535337,500,8805.843447
11.062338,500,8838.150571
15.835143,500,8853.83547
-0.577063,500,8868.85337
12.479082,500,8882.129701
4.866869,500,8912.609144
9.17922,500,8925.583183
9.387472,500,8938.335312
5.341812,500,8951.261325
12.300364,500,8969.735538
-1.489529,500,8982.93412
4.499311,500,8995.587945
1.349536,500,9008.510375
4.762223,500,9039.94926
7.593318,500,9056.410878
7.178652,500,9071.63195
10.36538,500,9084.796359
2.451258,500,9115.435029
6.222587,500,9130.752152
11.189505,500,9147.663149
11.222061,500,9163.120285
3.135975,500,9197.986362
9.354511,500,9212.817644
4.388936,500,9225.857445
12.116314,500,9238.780425
19.902321,500,9271.601875
12.632003,500,9291.075948
18.812135,500,9308.538843
-0.931645,500,9325.427421
5.018422,500,9354.406697
9.579523,500,9368.966991
5.766067,500,9384.785723
5.596938,500,9398.272248
19.780001,500,9429.324102
19.669076,500,9442.553383
16.64637,500,9456.399676
16.530884,500,9470.090274
5.045812,500,9500.720919
8.80903,500,9513.978121
13.646115,500,9528.561074
6.348011,500,9542.063843
-1.006925,500,9572.527854
9.912603,500,9585.62532
6.899157,500,9598.645669
4.738904,500,9611.513095
0.104512,500,9641.794182
3.035694,500,9654.679652
3.001232,500,9667.346359
10.600196,500,9680.374439
5.383152,500,9698.54118
11.583377,500,9711.796359
4.366417,500,9724.793832
7.670205,500,9737.870173
16.726819,500,9766.96071
2.491005,500,9780.031489
2.384466,500,9793.057393
5.64861,500,9806.065756
1.861544,500,9835.474113
4.907274,500,9848.611549
13.276234,500,9861.559124
3.306511,500,9874.345238
2.697681,500,9904.231943
9.597141,500,9918.463896
9.506154,500,9934.526348
10.325039,500,9949.647766
3.876605,500,9980.613288
19.061598,500,9995.979618
8.551668,500,10009.715525
11.437291,500,10023.792665
1.800545,500,10043.21053
12.8653,500,10057.738236
17.479926,500,10072.864894
3.221102,500,10086.138345
13.122662,500,10116.420703
22.281033,500,10129.490642
7.878937,500,10143.123788
11.634327,500,10156.901138
8.813773,500,10191.264728
